FECHA;VENTAS;CIUDAD;TOTAL_VENTA
19/03/2024;915;CALI;228.750,00 €
17/01/2024;454;BARRANQUILLA;113.500,00 €
18/07/2024;769;SAN ANDRES;192.250,00 €
10/08/2024;999;BOGOTA;249.750,00 €
20/07/2024;258;ARMENIA;64.500,00 €
10/02/2024;433;SANTANDER;108.250,00 €
20/08/2024;831;CUCUTA;207.750,00 €
19/05/2024;581;NARIÑO;145.250,00 €
18/05/2024;963;PUTUMUYO;240.750,00 €
30/03/2024;427;BOGOTA;106.750,00 €
13/03/2024;545;IBAGUE;136.250,00 €
21/02/2024;22;PEREIRA;5.500,00 €
08/04/2024;489;MANIZALES;122.250,00 €
28/06/2024;962;ARMENIA;240.500,00 €
04/04/2024;935;ALEMANIA;233.750,00 €
14/07/2024;44;SUIZA;11.000,00 €
19/02/2024;351;ESPAÑA;87.750,00 €
22/02/2024;552;CALI;138.000,00 €
06/06/2024;152;BARRANQUILLA;38.000,00 €
10/06/2024;291;SAN ANDRES;72.750,00 €
15/06/2024;51;BOGOTA;12.750,00 €
05/04/2024;404;ARMENIA;101.000,00 €
12/06/2024;885;SANTANDER;221.250,00 €
25/04/2024;894;CUCUTA;223.500,00 €
01/04/2024;692;NARIÑO;173.000,00 €
01/04/2024;662;PUTUMUYO;165.500,00 €
20/01/2024;113;BOGOTA;28.250,00 €
23/04/2024;473;IBAGUE;118.250,00 €
26/07/2024;421;PEREIRA;105.250,00 €
16/03/2024;161;MANIZALES;40.250,00 €
16/07/2024;512;ARMENIA;128.000,00 €
22/05/2024;569;ALEMANIA;142.250,00 €
29/07/2024;294;SUIZA;73.500,00 €
13/06/2024;367;ESPAÑA;91.750,00 €
26/01/2024;573;CALI;143.250,00 €
02/06/2024;36;BARRANQUILLA;9.000,00 €
04/01/2024;579;SAN ANDRES;144.750,00 €
29/04/2024;521;BOGOTA;130.250,00 €
29/06/2024;599;ARMENIA;149.750,00 €
29/06/2024;380;SANTANDER;95.000,00 €
16/03/2024;427;CUCUTA;106.750,00 €
02/01/2024;589;NARIÑO;147.250,00 €
10/05/2024;940;PUTUMUYO;235.000,00 €
12/03/2024;732;BOGOTA;183.000,00 €
01/06/2024;738;IBAGUE;184.500,00 €
29/01/2024;972;PEREIRA;243.000,00 €
10/04/2024;838;MANIZALES;209.500,00 €
23/05/2024;497;ARMENIA;124.250,00 €
16/06/2024;618;ALEMANIA;154.500,00 €
07/01/2024;247;SUIZA;61.750,00 €
25/02/2024;36;ESPAÑA;9.000,00 €
08/02/2024;237;CALI;59.250,00 €
27/07/2024;186;BARRANQUILLA;46.500,00 €
01/01/2024;169;SAN ANDRES;42.250,00 €
22/03/2024;181;BOGOTA;45.250,00 €
10/02/2024;794;ARMENIA;198.500,00 €
15/05/2024;225;SANTANDER;56.250,00 €
16/01/2024;999;CUCUTA;249.750,00 €
22/01/2024;361;NARIÑO;90.250,00 €
28/03/2024;22;PUTUMUYO;5.500,00 €
02/03/2024;841;BOGOTA;210.250,00 €
17/02/2024;885;IBAGUE;221.250,00 €
17/01/2024;356;PEREIRA;89.000,00 €
31/01/2024;374;MANIZALES;93.500,00 €
20/05/2024;39;ARMENIA;9.750,00 €
11/04/2024;226;ALEMANIA;56.500,00 €
08/06/2024;463;SUIZA;115.750,00 €
05/02/2024;274;ESPAÑA;68.500,00 €
23/02/2024;271;CALI;67.750,00 €
03/07/2024;814;BARRANQUILLA;203.500,00 €
06/05/2024;287;SAN ANDRES;71.750,00 €
15/05/2024;449;BOGOTA;112.250,00 €
14/02/2024;73;ARMENIA;18.250,00 €
03/03/2024;644;SANTANDER;161.000,00 €
08/06/2024;607;CUCUTA;151.750,00 €
21/01/2024;964;NARIÑO;241.000,00 €
29/06/2024;817;PUTUMUYO;204.250,00 €
11/02/2024;523;BOGOTA;130.750,00 €
13/05/2024;825;IBAGUE;206.250,00 €
20/03/2024;920;PEREIRA;230.000,00 €
04/04/2024;240;MANIZALES;60.000,00 €
08/06/2024;26;ARMENIA;6.500,00 €
21/01/2024;945;ALEMANIA;236.250,00 €
02/04/2024;698;SUIZA;174.500,00 €
02/01/2024;248;ESPAÑA;62.000,00 €
25/05/2024;757;CALI;189.250,00 €
21/06/2024;485;BARRANQUILLA;121.250,00 €
07/06/2024;155;SAN ANDRES;38.750,00 €
29/02/2024;312;BOGOTA;78.000,00 €
27/05/2024;537;ARMENIA;134.250,00 €
11/01/2024;744;SANTANDER;186.000,00 €
02/02/2024;107;CUCUTA;26.750,00 €
13/02/2024;671;NARIÑO;167.750,00 €
04/06/2024;615;PUTUMUYO;153.750,00 €
19/02/2024;239;BOGOTA;59.750,00 €
12/01/2024;175;IBAGUE;43.750,00 €
27/08/2024;839;PEREIRA;209.750,00 €
30/05/2024;356;MANIZALES;89.000,00 €
11/02/2024;687;ARMENIA;171.750,00 €
03/06/2024;39;ALEMANIA;9.750,00 €
02/06/2024;24;SUIZA;6.000,00 €
16/01/2024;170;ESPAÑA;42.500,00 €
24/05/2024;780;CALI;195.000,00 €
14/02/2024;779;BARRANQUILLA;194.750,00 €
03/08/2024;783;SAN ANDRES;195.750,00 €
28/06/2024;176;BOGOTA;44.000,00 €
12/04/2024;536;ARMENIA;134.000,00 €
29/03/2024;126;SANTANDER;31.500,00 €
02/03/2024;532;CUCUTA;133.000,00 €
30/04/2024;22;NARIÑO;5.500,00 €
27/02/2024;722;PUTUMUYO;180.500,00 €
06/07/2024;319;BOGOTA;79.750,00 €
29/05/2024;203;IBAGUE;50.750,00 €
25/07/2024;432;PEREIRA;108.000,00 €
03/04/2024;373;MANIZALES;93.250,00 €
08/07/2024;457;ARMENIA;114.250,00 €
25/01/2024;223;ALEMANIA;55.750,00 €
30/03/2024;236;SUIZA;59.000,00 €
04/02/2024;237;ESPAÑA;59.250,00 €
10/07/2024;132;CALI;33.000,00 €
27/04/2024;550;BARRANQUILLA;137.500,00 €
25/03/2024;478;SAN ANDRES;119.500,00 €
11/07/2024;297;BOGOTA;74.250,00 €
15/06/2024;385;ARMENIA;96.250,00 €
29/02/2024;805;SANTANDER;201.250,00 €
20/04/2024;959;CUCUTA;239.750,00 €
12/05/2024;861;NARIÑO;215.250,00 €
03/06/2024;264;PUTUMUYO;66.000,00 €
17/07/2024;386;BOGOTA;96.500,00 €
12/01/2024;547;IBAGUE;136.750,00 €
15/03/2024;14;PEREIRA;3.500,00 €
17/01/2024;895;MANIZALES;223.750,00 €
29/03/2024;343;ARMENIA;85.750,00 €
26/08/2024;20;ALEMANIA;5.000,00 €
26/02/2024;777;SUIZA;194.250,00 €
28/02/2024;785;ESPAÑA;196.250,00 €
02/03/2024;260;CALI;65.000,00 €
19/03/2024;42;BARRANQUILLA;10.500,00 €
27/05/2024;933;SAN ANDRES;233.250,00 €
27/07/2024;663;BOGOTA;165.750,00 €
11/07/2024;334;ARMENIA;83.500,00 €
04/05/2024;952;SANTANDER;238.000,00 €
01/06/2024;818;CUCUTA;204.500,00 €
27/02/2024;142;NARIÑO;35.500,00 €
10/04/2024;659;PUTUMUYO;164.750,00 €
17/04/2024;353;BOGOTA;88.250,00 €
24/01/2024;690;IBAGUE;172.500,00 €
18/07/2024;322;PEREIRA;80.500,00 €
25/04/2024;67;MANIZALES;16.750,00 €
20/01/2024;174;ARMENIA;43.500,00 €
12/01/2024;56;ALEMANIA;14.000,00 €
13/02/2024;763;SUIZA;190.750,00 €
14/06/2024;906;ESPAÑA;226.500,00 €
10/04/2024;219;CALI;54.750,00 €
05/03/2024;446;BARRANQUILLA;111.500,00 €
24/03/2024;877;SAN ANDRES;219.250,00 €
16/03/2024;320;BOGOTA;80.000,00 €
30/08/2024;912;ARMENIA;228.000,00 €
06/01/2024;520;SANTANDER;130.000,00 €
01/02/2024;279;CUCUTA;69.750,00 €
14/05/2024;438;NARIÑO;109.500,00 €
20/06/2024;708;PUTUMUYO;177.000,00 €
16/02/2024;193;BOGOTA;48.250,00 €
11/05/2024;356;IBAGUE;89.000,00 €
29/07/2024;246;PEREIRA;61.500,00 €
07/01/2024;106;MANIZALES;26.500,00 €
10/01/2024;890;ARMENIA;222.500,00 €
12/05/2024;9;ALEMANIA;2.250,00 €
14/05/2024;204;SUIZA;51.000,00 €
29/06/2024;789;ESPAÑA;197.250,00 €
10/03/2024;295;CALI;73.750,00 €
02/04/2024;449;BARRANQUILLA;112.250,00 €
17/03/2024;288;SAN ANDRES;72.000,00 €
16/07/2024;90;BOGOTA;22.500,00 €
23/02/2024;74;ARMENIA;18.500,00 €
24/07/2024;743;SANTANDER;185.750,00 €
09/05/2024;827;CUCUTA;206.750,00 €
07/03/2024;781;NARIÑO;195.250,00 €
19/01/2024;621;PUTUMUYO;155.250,00 €
21/02/2024;50;BOGOTA;12.500,00 €
03/01/2024;875;IBAGUE;218.750,00 €
08/04/2024;501;PEREIRA;125.250,00 €
12/06/2024;90;MANIZALES;22.500,00 €
22/07/2024;349;ARMENIA;87.250,00 €
27/08/2024;563;ALEMANIA;140.750,00 €
22/04/2024;896;SUIZA;224.000,00 €
24/02/2024;66;ESPAÑA;16.500,00 €
11/06/2024;298;CALI;74.500,00 €
25/01/2024;945;BARRANQUILLA;236.250,00 €
19/06/2024;545;SAN ANDRES;136.250,00 €
27/01/2024;307;BOGOTA;76.750,00 €
03/02/2024;806;ARMENIA;201.500,00 €
10/06/2024;735;SANTANDER;183.750,00 €
26/08/2024;320;CUCUTA;80.000,00 €
26/02/2024;246;NARIÑO;61.500,00 €
17/02/2024;334;PUTUMUYO;83.500,00 €
04/08/2024;343;BOGOTA;85.750,00 €
17/01/2024;738;IBAGUE;184.500,00 €
08/07/2024;763;PEREIRA;190.750,00 €
08/01/2024;387;MANIZALES;96.750,00 €
25/04/2024;197;ARMENIA;49.250,00 €
27/08/2024;98;ALEMANIA;24.500,00 €
19/03/2024;200;SUIZA;50.000,00 €
06/08/2024;173;ESPAÑA;43.250,00 €
03/07/2024;552;CALI;138.000,00 €
15/05/2024;443;BARRANQUILLA;110.750,00 €
18/07/2024;512;SAN ANDRES;128.000,00 €
25/06/2024;939;BOGOTA;234.750,00 €
15/07/2024;944;ARMENIA;236.000,00 €
12/04/2024;337;SANTANDER;84.250,00 €
05/07/2024;310;CUCUTA;77.500,00 €
15/06/2024;692;NARIÑO;173.000,00 €
07/08/2024;572;PUTUMUYO;143.000,00 €
12/04/2024;411;BOGOTA;102.750,00 €
08/02/2024;290;IBAGUE;72.500,00 €
17/03/2024;910;PEREIRA;227.500,00 €
18/03/2024;984;MANIZALES;246.000,00 €
03/03/2024;423;ARMENIA;105.750,00 €
17/03/2024;374;ALEMANIA;93.500,00 €
29/04/2024;599;SUIZA;149.750,00 €
12/08/2024;109;ESPAÑA;27.250,00 €
06/08/2024;945;CALI;236.250,00 €
26/06/2024;974;BARRANQUILLA;243.500,00 €
05/03/2024;972;SAN ANDRES;243.000,00 €
03/02/2024;57;BOGOTA;14.250,00 €
16/04/2024;562;ARMENIA;140.500,00 €
16/03/2024;839;SANTANDER;209.750,00 €
13/03/2024;599;CUCUTA;149.750,00 €
05/06/2024;409;NARIÑO;102.250,00 €
11/05/2024;429;PUTUMUYO;107.250,00 €
07/01/2024;269;BOGOTA;67.250,00 €
26/04/2024;286;IBAGUE;71.500,00 €
18/04/2024;439;PEREIRA;109.750,00 €
23/06/2024;643;MANIZALES;160.750,00 €
25/01/2024;745;ARMENIA;186.250,00 €
16/03/2024;801;ALEMANIA;200.250,00 €
02/02/2024;586;SUIZA;146.500,00 €
17/01/2024;727;ESPAÑA;181.750,00 €
08/07/2024;220;CALI;55.000,00 €
14/06/2024;478;BARRANQUILLA;119.500,00 €
01/05/2024;428;SAN ANDRES;107.000,00 €
29/02/2024;362;BOGOTA;90.500,00 €
23/04/2024;177;ARMENIA;44.250,00 €
23/06/2024;847;SANTANDER;211.750,00 €
24/03/2024;605;CUCUTA;151.250,00 €
25/01/2024;294;NARIÑO;73.500,00 €
24/08/2024;244;PUTUMUYO;61.000,00 €
12/05/2024;376;BOGOTA;94.000,00 €
26/04/2024;808;IBAGUE;202.000,00 €
20/03/2024;686;PEREIRA;171.500,00 €
15/07/2024;319;MANIZALES;79.750,00 €
20/04/2024;849;ARMENIA;212.250,00 €
20/04/2024;819;ALEMANIA;204.750,00 €
07/08/2024;934;SUIZA;233.500,00 €
11/01/2024;276;ESPAÑA;69.000,00 €
25/08/2024;348;CALI;87.000,00 €
09/02/2024;312;BARRANQUILLA;78.000,00 €
06/07/2024;614;SAN ANDRES;153.500,00 €
28/07/2024;600;BOGOTA;150.000,00 €
28/01/2024;310;ARMENIA;77.500,00 €
17/06/2024;233;SANTANDER;58.250,00 €
29/07/2024;597;CUCUTA;149.250,00 €
16/07/2024;118;NARIÑO;29.500,00 €
18/06/2024;548;PUTUMUYO;137.000,00 €
08/05/2024;503;BOGOTA;125.750,00 €
15/08/2024;954;IBAGUE;238.500,00 €
02/07/2024;200;PEREIRA;50.000,00 €
22/05/2024;682;MANIZALES;170.500,00 €
01/08/2024;64;ARMENIA;16.000,00 €
06/06/2024;233;ALEMANIA;58.250,00 €
18/08/2024;235;SUIZA;58.750,00 €
04/05/2024;260;ESPAÑA;65.000,00 €
18/03/2024;864;CALI;216.000,00 €
22/05/2024;495;BARRANQUILLA;123.750,00 €
07/07/2024;565;SAN ANDRES;141.250,00 €
16/06/2024;884;BOGOTA;221.000,00 €
16/01/2024;836;ARMENIA;209.000,00 €
30/06/2024;49;SANTANDER;12.250,00 €
05/01/2024;53;CUCUTA;13.250,00 €
06/04/2024;102;NARIÑO;25.500,00 €
23/04/2024;573;PUTUMUYO;143.250,00 €
09/08/2024;3;BOGOTA;750,00 €
31/05/2024;878;IBAGUE;219.500,00 €
03/06/2024;748;PEREIRA;187.000,00 €
05/03/2024;69;MANIZALES;17.250,00 €
24/04/2024;293;ARMENIA;73.250,00 €
23/07/2024;37;ALEMANIA;9.250,00 €
02/08/2024;654;SUIZA;163.500,00 €
22/03/2024;592;ESPAÑA;148.000,00 €
02/06/2024;299;CALI;74.750,00 €
23/06/2024;603;BARRANQUILLA;150.750,00 €
24/07/2024;649;SAN ANDRES;162.250,00 €
24/01/2024;149;BOGOTA;37.250,00 €
19/06/2024;256;ARMENIA;64.000,00 €
27/07/2024;567;SANTANDER;141.750,00 €
11/08/2024;721;CUCUTA;180.250,00 €
21/08/2024;582;NARIÑO;145.500,00 €
27/02/2024;637;PUTUMUYO;159.250,00 €
28/01/2024;543;BOGOTA;135.750,00 €
16/07/2024;435;IBAGUE;108.750,00 €
02/04/2024;256;PEREIRA;64.000,00 €
07/05/2024;741;MANIZALES;185.250,00 €
26/04/2024;179;ARMENIA;44.750,00 €
14/07/2024;969;ALEMANIA;242.250,00 €
15/05/2024;686;SUIZA;171.500,00 €
09/05/2024;907;ESPAÑA;226.750,00 €
20/05/2024;507;CALI;126.750,00 €
16/02/2024;105;BARRANQUILLA;26.250,00 €
29/08/2024;887;SAN ANDRES;221.750,00 €
27/04/2024;970;BOGOTA;242.500,00 €
13/02/2024;744;ARMENIA;186.000,00 €
24/04/2024;790;SANTANDER;197.500,00 €
10/05/2024;950;CUCUTA;237.500,00 €
01/04/2024;346;NARIÑO;86.500,00 €
22/06/2024;635;PUTUMUYO;158.750,00 €
25/03/2024;551;BOGOTA;137.750,00 €
21/08/2024;257;IBAGUE;64.250,00 €
19/02/2024;567;PEREIRA;141.750,00 €
10/07/2024;615;MANIZALES;153.750,00 €
13/03/2024;451;ARMENIA;112.750,00 €
24/02/2024;866;ALEMANIA;216.500,00 €
23/04/2024;229;SUIZA;57.250,00 €
25/01/2024;518;ESPAÑA;129.500,00 €
26/02/2024;339;CALI;84.750,00 €
02/03/2024;887;BARRANQUILLA;221.750,00 €
09/05/2024;137;SAN ANDRES;34.250,00 €
01/01/2024;943;BOGOTA;235.750,00 €
05/06/2024;397;ARMENIA;99.250,00 €
22/08/2024;345;SANTANDER;86.250,00 €
07/03/2024;333;CUCUTA;83.250,00 €
23/06/2024;678;NARIÑO;169.500,00 €
11/07/2024;19;PUTUMUYO;4.750,00 €
03/05/2024;705;BOGOTA;176.250,00 €
12/02/2024;346;IBAGUE;86.500,00 €
11/01/2024;724;PEREIRA;181.000,00 €
10/01/2024;207;MANIZALES;51.750,00 €
13/05/2024;903;ARMENIA;225.750,00 €
15/08/2024;681;ALEMANIA;170.250,00 €
13/06/2024;420;SUIZA;105.000,00 €
01/08/2024;964;ESPAÑA;241.000,00 €
19/03/2024;471;CALI;117.750,00 €
06/08/2024;204;BARRANQUILLA;51.000,00 €
21/05/2024;21;SAN ANDRES;5.250,00 €
17/08/2024;117;BOGOTA;29.250,00 €
04/08/2024;11;ARMENIA;2.750,00 €
08/07/2024;905;SANTANDER;226.250,00 €
06/05/2024;111;CUCUTA;27.750,00 €
23/08/2024;608;NARIÑO;152.000,00 €
05/05/2024;362;PUTUMUYO;90.500,00 €
20/05/2024;958;BOGOTA;239.500,00 €
10/01/2024;452;IBAGUE;113.000,00 €
12/02/2024;811;PEREIRA;202.750,00 €
26/06/2024;157;MANIZALES;39.250,00 €
18/02/2024;30;ARMENIA;7.500,00 €
26/05/2024;567;ALEMANIA;141.750,00 €
22/06/2024;291;SUIZA;72.750,00 €
30/06/2024;541;ESPAÑA;135.250,00 €
03/07/2024;689;CALI;172.250,00 €
31/03/2024;761;BARRANQUILLA;190.250,00 €
29/04/2024;923;SAN ANDRES;230.750,00 €
27/08/2024;46;BOGOTA;11.500,00 €
22/08/2024;848;ARMENIA;212.000,00 €
19/02/2024;210;SANTANDER;52.500,00 €
23/08/2024;719;CUCUTA;179.750,00 €
14/06/2024;905;NARIÑO;226.250,00 €
01/08/2024;266;PUTUMUYO;66.500,00 €
25/02/2024;614;BOGOTA;153.500,00 €
25/07/2024;595;IBAGUE;148.750,00 €
09/01/2024;347;PEREIRA;86.750,00 €
11/08/2024;743;MANIZALES;185.750,00 €
16/07/2024;693;ARMENIA;173.250,00 €
07/01/2024;649;ALEMANIA;162.250,00 €
10/01/2024;759;SUIZA;189.750,00 €
22/08/2024;91;ESPAÑA;22.750,00 €
06/04/2024;690;CALI;172.500,00 €
25/05/2024;994;BARRANQUILLA;248.500,00 €
07/07/2024;969;SAN ANDRES;242.250,00 €
16/06/2024;453;BOGOTA;113.250,00 €
26/04/2024;681;ARMENIA;170.250,00 €
20/07/2024;487;SANTANDER;121.750,00 €
27/02/2024;265;CUCUTA;66.250,00 €
12/01/2024;629;NARIÑO;157.250,00 €
15/05/2024;744;PUTUMUYO;186.000,00 €
04/04/2024;442;BOGOTA;110.500,00 €
12/08/2024;411;IBAGUE;102.750,00 €
14/05/2024;31;PEREIRA;7.750,00 €
31/05/2024;209;MANIZALES;52.250,00 €
06/08/2024;242;ARMENIA;60.500,00 €
18/05/2024;99;ALEMANIA;24.750,00 €
05/08/2024;902;SUIZA;225.500,00 €
25/01/2024;667;ESPAÑA;166.750,00 €
23/05/2024;343;CALI;85.750,00 €
03/03/2024;311;BARRANQUILLA;77.750,00 €
02/05/2024;3;SAN ANDRES;750,00 €
28/07/2024;664;BOGOTA;166.000,00 €
17/02/2024;255;ARMENIA;63.750,00 €
12/05/2024;721;SANTANDER;180.250,00 €
28/07/2024;629;CUCUTA;157.250,00 €
23/03/2024;505;NARIÑO;126.250,00 €
19/06/2024;427;PUTUMUYO;106.750,00 €
24/02/2024;543;BOGOTA;135.750,00 €
05/06/2024;851;IBAGUE;212.750,00 €
27/02/2024;618;PEREIRA;154.500,00 €
14/01/2024;484;MANIZALES;121.000,00 €
29/01/2024;781;ARMENIA;195.250,00 €
27/04/2024;763;ALEMANIA;190.750,00 €
01/06/2024;601;SUIZA;150.250,00 €
10/01/2024;397;ESPAÑA;99.250,00 €
07/05/2024;635;CALI;158.750,00 €
26/03/2024;16;BARRANQUILLA;4.000,00 €
16/08/2024;805;SAN ANDRES;201.250,00 €
07/08/2024;817;BOGOTA;204.250,00 €
14/01/2024;445;ARMENIA;111.250,00 €
18/04/2024;743;SANTANDER;185.750,00 €
15/02/2024;249;CUCUTA;62.250,00 €
27/08/2024;649;NARIÑO;162.250,00 €
11/05/2024;754;PUTUMUYO;188.500,00 €
20/07/2024;424;BOGOTA;106.000,00 €
06/08/2024;578;IBAGUE;144.500,00 €
06/08/2024;207;PEREIRA;51.750,00 €
07/06/2024;816;MANIZALES;204.000,00 €
13/06/2024;39;ARMENIA;9.750,00 €
15/08/2024;355;ALEMANIA;88.750,00 €
29/05/2024;350;SUIZA;87.500,00 €
30/04/2024;860;ESPAÑA;215.000,00 €
22/04/2024;122;CALI;30.500,00 €
06/01/2024;109;BARRANQUILLA;27.250,00 €
23/06/2024;865;SAN ANDRES;216.250,00 €
19/04/2024;690;BOGOTA;172.500,00 €
03/04/2024;267;ARMENIA;66.750,00 €
03/04/2024;976;SANTANDER;244.000,00 €
14/01/2024;765;CUCUTA;191.250,00 €
02/05/2024;423;NARIÑO;105.750,00 €
14/02/2024;130;PUTUMUYO;32.500,00 €
18/07/2024;771;BOGOTA;192.750,00 €
09/03/2024;669;IBAGUE;167.250,00 €
29/06/2024;311;PEREIRA;77.750,00 €
30/01/2024;259;MANIZALES;64.750,00 €
27/08/2024;677;ARMENIA;169.250,00 €
02/05/2024;910;ALEMANIA;227.500,00 €
19/02/2024;369;SUIZA;92.250,00 €
16/05/2024;777;ESPAÑA;194.250,00 €
02/02/2024;713;CALI;178.250,00 €
01/08/2024;659;BARRANQUILLA;164.750,00 €
05/06/2024;930;SAN ANDRES;232.500,00 €
07/04/2024;131;BOGOTA;32.750,00 €
09/02/2024;90;ARMENIA;22.500,00 €
22/03/2024;692;SANTANDER;173.000,00 €
03/01/2024;276;CUCUTA;69.000,00 €
12/04/2024;994;NARIÑO;248.500,00 €
28/08/2024;580;PUTUMUYO;145.000,00 €
15/01/2024;196;BOGOTA;49.000,00 €
08/07/2024;957;IBAGUE;239.250,00 €
08/01/2024;107;PEREIRA;26.750,00 €
15/04/2024;967;MANIZALES;241.750,00 €
20/01/2024;193;ARMENIA;48.250,00 €
20/02/2024;415;ALEMANIA;103.750,00 €
17/08/2024;830;SUIZA;207.500,00 €
21/06/2024;911;ESPAÑA;227.750,00 €
27/03/2024;891;CALI;222.750,00 €
15/01/2024;833;BARRANQUILLA;208.250,00 €
27/05/2024;680;SAN ANDRES;170.000,00 €
23/05/2024;514;BOGOTA;128.500,00 €
21/06/2024;142;ARMENIA;35.500,00 €
02/04/2024;902;SANTANDER;225.500,00 €
13/04/2024;862;CUCUTA;215.500,00 €
25/03/2024;280;NARIÑO;70.000,00 €
08/02/2024;260;PUTUMUYO;65.000,00 €
01/08/2024;392;BOGOTA;98.000,00 €
10/06/2024;973;IBAGUE;243.250,00 €
01/01/2024;274;PEREIRA;68.500,00 €
04/01/2024;308;MANIZALES;77.000,00 €
07/02/2024;644;ARMENIA;161.000,00 €
03/01/2024;989;ALEMANIA;247.250,00 €
27/04/2024;348;SUIZA;87.000,00 €
19/02/2024;897;ESPAÑA;224.250,00 €
06/07/2024;169;CALI;42.250,00 €
19/08/2024;113;BARRANQUILLA;28.250,00 €
12/08/2024;832;SAN ANDRES;208.000,00 €
27/03/2024;564;BOGOTA;141.000,00 €
31/01/2024;491;ARMENIA;122.750,00 €
